특성별(1),특성별(2),교육내용_매우 불만족 (퍼센트),교육내용_약간 불만족 (퍼센트),교육내용_보통 (퍼센트),교육내용_약간 만족 (퍼센트),교육내용_매우 만족 (퍼센트),교육내용_5점 평균 (점),교육방법(교사나 교수의 수업지도 평가)_매우 불만족 (퍼센트),교육방법(교사나 교수의 수업지도 평가)_약간 불만족 (퍼센트),교육방법(교사나 교수의 수업지도 평가)_보통 (퍼센트),교육방법(교사나 교수의 수업지도 평가)_약간 만족 (퍼센트),교육방법(교사나 교수의 수업지도 평가)_매우 만족 (퍼센트),교육방법(교사나 교수의 수업지도 평가)_5점 평균 (점),교우관계_매우 불만족 (퍼센트),교우관계_약간 불만족 (퍼센트),교우관계_보통 (퍼센트),교우관계_약간 만족 (퍼센트),교우관계_매우 만족 (퍼센트),교우관계_5점 평균 (점),교사(교수)와의 관계_매우 불만족 (퍼센트),교사(교수)와의 관계_약간 불만족 (퍼센트),교사(교수)와의 관계_보통 (퍼센트),교사(교수)와의 관계_약간 만족 (퍼센트),교사(교수)와의 관계_매우 만족 (퍼센트),교사(교수)와의 관계_5점 평균 (점),학교시설 및 설비_매우 불만족 (퍼센트),학교시설 및 설비_약간 불만족 (퍼센트),학교시설 및 설비_보통 (퍼센트),학교시설 및 설비_약간 만족 (퍼센트),학교시설 및 설비_매우 만족 (퍼센트),학교시설 및 설비_5점 평균 (점),학교 주변 환경_매우 불만족 (퍼센트),학교 주변 환경_약간 불만족 (퍼센트),학교 주변 환경_보통 (퍼센트),학교 주변 환경_약간 만족 (퍼센트),학교 주변 환경_매우 만족 (퍼센트),학교 주변 환경_5점 평균 (점),소질과 적성 개발_매우 불만족 (퍼센트),소질과 적성 개발_약간 불만족 (퍼센트),소질과 적성 개발_보통 (퍼센트),소질과 적성 개발_약간 만족 (퍼센트),소질과 적성 개발_매우 만족 (퍼센트),소질과 적성 개발_5점 평균 (점),전공(특목고 특성화고 대학(교) 대학원)_매우 불만족 (퍼센트),전공(특목고 특성화고 대학(교) 대학원)_약간 불만족 (퍼센트),전공(특목고 특성화고 대학(교) 대학원)_보통 (퍼센트),전공(특목고 특성화고 대학(교) 대학원)_약간 만족 (퍼센트),전공(특목고 특성화고 대학(교) 대학원)_매우 만족 (퍼센트),전공(특목고 특성화고 대학(교) 대학원)_5점 평균 (점),전반적인 학교생활_매우 불만족 (퍼센트),전반적인 학교생활_약간 불만족 (퍼센트),전반적인 학교생활_보통 (퍼센트),전반적인 학교생활_약간 만족 (퍼센트),전반적인 학교생활_매우 만족 (퍼센트),전반적인 학교생활_5점 평균 (점)
군구별,강화군,0,1.1,83.4,12.4,3.2,3.18,0,1.1,76.9,14.9,7.1,3.28,0,0,24.5,58.2,17.3,3.93,0,3.2,45.4,48.3,3.2,3.51,0,3.4,60.5,32.9,3.2,3.36,1,20.7,60.8,11.6,5.9,3.01,0,5.8,69.8,21.2,3.2,3.22,3.6,0,29.4,47.5,19.5,3.79,0,2.5,80.6,13.7,3.2,3.18
군구별,옹진군,0,0,30.3,66.1,3.6,3.73,0,0,39.5,37.6,22.9,3.83,0,0,23.7,33.9,42.4,4.19,0,0,51.6,25.6,22.7,3.71,0,28.4,36.1,28.5,7.1,3.14,0,12.8,51.6,22.9,12.7,3.35,0,3.6,32.9,56.4,7.1,3.67,0,31.1,50.3,8.2,10.4,2.98,0,0,44.8,48.1,7.1,3.62
군구별,중구,0,2.9,50.6,42.5,4,3.48,0,4.8,53,37,5.2,3.43,0,0.6,24,52.4,23,3.98,0,5.1,55.7,36.8,2.4,3.37,0,2.7,44.2,45.9,7.3,3.58,0,5.2,34.9,54.8,5,3.6,0,4,49.1,42.9,4.1,3.47,1.6,2.3,43.1,49.5,3.6,3.51,0,1.6,50.8,45.6,2,3.48
군구별,동구,0,11.7,32.9,51,4.4,3.48,0,9.8,34.7,43.6,11.8,3.57,0,5.6,20.9,47.3,26.1,3.94,0,7.1,49.7,34.3,8.9,3.45,2.2,16,52.8,25.7,3.4,3.12,3.2,14.3,56.9,20.3,5.2,3.1,2.3,18.5,30.9,40.3,7.9,3.33,1,15.8,34.7,33.5,15,3.46,0,7,46.6,38.4,7.9,3.47
군구별,미추홀구,0,5.8,23.7,57.2,13.2,3.78,0,5.7,34.6,44.7,15,3.69,1.1,3.3,25,46.5,24,3.89,0,5.6,42.2,40.5,11.6,3.58,1.2,6.4,39.6,43.6,9.2,3.53,0,11.3,44.5,36.7,7.5,3.4,1.1,7.8,42.1,43.4,5.6,3.44,1.4,5.3,33.7,50.2,9.4,3.61,0,2.3,40,54.3,3.4,3.59
군구별,연수구,0,1.3,20.1,71,7.6,3.85,0,3.1,28.5,53.7,14.7,3.8,0,0,30.5,49.7,19.8,3.89,0,1.1,33.2,50.5,15.3,3.8,1.7,4.2,26.8,53.5,13.8,3.73,1.2,2.7,29.8,54.8,11.5,3.73,0,0.7,28.1,61.7,9.6,3.8,0,1.4,37.4,53.1,8,3.68,0,0,22.2,70.4,7.4,3.85
군구별,남동구,0.9,3.3,34.8,53.6,7.3,3.63,0,2.5,39.3,43.8,14.4,3.7,0,4.3,29.1,36.1,30.6,3.93,0,5.1,33,44.8,17.1,3.74,0,3.2,41.9,50.4,4.5,3.56,0,9.4,45.2,40.4,5,3.41,0,5.4,36.5,52.2,5.9,3.59,0,6.7,45.1,36.4,11.8,3.53,0,0,38.3,56.1,5.6,3.67
군구별,부평구,0,0.7,40.9,52.2,6.2,3.64,0,1.4,35.6,55.6,7.4,3.69,0,1,25.3,58.2,15.5,3.88,0,0,41.9,47.9,10.2,3.68,0,2.7,43.1,49,5.2,3.57,0,5.1,39.8,51.4,3.7,3.54,0,4.9,45.9,41.7,7.5,3.52,0,1.4,44.7,43.6,10.3,3.63,0,0,34.8,63.9,1.3,3.67
군구별,계양구,0.8,6.3,33.3,50.6,9,3.61,0.8,7.9,37,43.3,11.1,3.56,0.8,0,25.8,50.7,22.7,3.95,0.8,3.7,40.3,46.1,9.1,3.59,0.8,4.9,50.6,37.2,6.5,3.44,1.6,12.3,49.2,33.2,3.7,3.25,2.1,7.7,50,34.3,5.9,3.34,0.8,6.6,50.3,38.7,3.6,3.38,0.8,1,55.8,38.7,3.7,3.44
군구별,서구,0.3,1.7,28.2,60.8,8.9,3.76,0,2.2,33.2,56.7,7.9,3.7,0.7,3.9,22.8,46.3,26.3,3.94,0,2.9,39.3,52.3,5.5,3.6,0,2.9,26.9,61.4,8.8,3.76,0,1.1,31.9,58.1,8.9,3.75,0,3.7,48.2,43.1,5,3.49,0,3.7,40.3,51.4,4.5,3.57,0,0.7,33,60.8,5.6,3.71
